Название региона или Федерального округа,Период,"Число музеев,филиалов и структурных подразделений, ед.  ","Число музеев, ед.  ","Число филиалов, ед.  ","Число структурных подразделений, ед.  ","из общего числа музеев имеют музейные предметы, внесенных в АМС, ед. ",из общего числа музеев имеют предметы в цифровом изображении ,"из общего числа музеев имеют предметы в цифровом изображении, доступные в  Интернете 
на различных сайтах/порталах ","из общего числа музеев имеют музейные предметы, внесенные в электронный каталог ","Общий объем музейного фонда на конец года, ед.  ","из общего объема музейного фонда на конец года, ед. предметы, содержащие драгоценные металлы и камни ","из общего объема музейного фонда на конец года, ед. число предметов, включенных в состав государ-ственной части Музейного фонда Российской Федерации ","из общего объема музейного фонда на конец года, ед. число предметов, включенных в состав негосудар-ственной части Музейного фонда Российской Федерации ","из общего объема музейного фонда на конец года, ед. число предметов, являющихся федеральной собствен-ностью, переданных музею в оперативное управление или безвозмездное пользование ","из общего объема музейного фонда на конец года, ед. число предметов, являющихся собственностью субъекта Российской Федерации, переданных музею в оперативное управление или безвозмездное пользование ","из общего объема музейного фонда на конец года, ед. число предметов, являющихся муниципальной собствен-ностью, переданных музею в оперативное управление или безвозмездное пользование ","из общего объема музейного фонда на конец года, ед. число предметов, являющихся частной собственностью ","из общего объема музейного фонда на конец года, ед. число предметов, включенных в экспозицию (выставку) для восприятия слепыми и слабовидя-щими ","Число предметов основного фонда на конец года, ед.  ","из общего числа предметов основного фонда, ед. предметы, содержащие драгоценные металлы и камни ","из общего числа предметов основного фонда, ед. число предметов, включенных в состав государ-ственной части Музейного фонда Российской Федерации ","из общего числа предметов основного фонда, ед. число предметов, включенных в состав негосудар-ственной части Музейного фонда Российской Федерации ","из общего числа предметов основного фонда, ед. число предметов, являющихся федеральной собствен-ностью, переданных музею в оперативное управление или безвозмездное пользование ","из общего числа предметов основного фонда, ед. число предметов, являющихся собственностью субъекта Российской Федерации, переданных музею в оперативное управление или безвозмездное пользование ","из общего числа предметов основного фонда, ед. число предметов, являющихся муниципальной собствен-ностью, переданных музею в оперативное управление или безвозмездное пользование ","из общего числа предметов основного фонда, ед. число предметов, являющихся частной собственностью ","из общего числа предметов основного фонда, ед. число предметов, включенных в экспозицию (выставку) для восприятия слепыми и слабовидя-щими ","Число предметов основного фонда, которые экспониро-вались в течение отчетного года, ед.  ","Число предметов основного фонда, требующих реставрации, ед.  ","Число предметов основного фонда, отреставрированных в отчетном году, ед.  ","Число предметов научно-вспомога-тельного фонда на конец года, ед.  ","из общего числа предметов научно-вспомогательного фонда, ед. число предметов, являющихся федеральной собствен-ностью, переданных музею в оперативное управление или безвозмездное пользование ","из общего числа предметов научно-вспомогательного фонда, ед. число предметов, являющихся собствен-ностью субъекта Российской Федерации, переданных музею в оперативное управление или безвозмездное пользование ","из общего числа предметов научно-вспомогательного фонда, ед. число предметов, являющихся муниципальной собствен-ностью, переданных музею в оперативное управление или безвозмездное пользование ","из общего числа предметов научно-вспомогательного фонда, ед. число предметов, являющихся частной собственностью ","из общего числа предметов научно-вспомогательного фонда, ед. число предметов, включенных в экспозицию (выставку) для восприятия слепыми и слабовидящими ","Число предметов научно-вспомогательного фонда (НВФ), которые экспонировались в течение отчетного года, ед.","Число музеев, имеющих автоматизированную технологию обработки поступлений и ведения электронного каталога музейных предметов ","Число музеев, имеющих автоматизированную технологию для работы посетителей с электронными ресурсами музея ","Число музеев, имеющих доступ в Интернет ","Число музеев, имеющих доступ в Интернет для посетителей ","Число музеев, имеющих собственный Интернет – сайт или  Интернет - страницу ","Число музеев, имеющих собственный Интернет – сайт или  Интернет - страницу, доступные для слепых и слабовидящих ","Число музейных предметов, внесенных в  АМС, ед.  ","из них предметов, имеющих цифровые изображения  ",из них доступных в Интернете  ,"Число музейных предметов, внесенных в Государ-ственный электронный каталог, ед.  ","Общая площадь территории музеев, га  ","Общая площадь помещений (зданий), кв. м.  ",из общей площади помещений экспози-ционно-выставочная площадь ,из общей площади помещений площадь под хранение фондов ,"Число строений, ед. всего ","Число строений, ед. объекты культурного наследия федераль-ного значения","Число строений, ед.  региональ-ного значения","Число строений, ед. техническое состояние помещений требуют капиталь-ного ремонта","Число строений, ед. техническое состояние помещений аварийные","Число строений, ед. по форме владения в оперативном управлении","Число строений, ед. по форме владения арендованные","Число строений, ед. по форме владения прочие","Число строений, ед. с безбарьерной средой для инвалидов и лиц с нарушениями зрения","Число строений, ед. с безбарьерной средой для инвалидов и лиц с нарушениями слуха","Число строений, ед. с безбарьерной средой для инвалидов и лиц с нарушениями опорно-двигатель-ного аппарата","Характеристики по видам охраны сторожевая (музея) количество постов, ед.","Характеристики по видам охраны сторожевая (музея) численность сотрудников охраны, чел.","Характеристики по видам охраны сторожевая (вневедомственная) количество постов, ед.","Характеристики по видам охраны сторожевая (вневедомственная) численность сотрудников охраны, чел.","Характеристики по видам охраны Постовые войск национальной гвардии (Росгвардии) количество постов, ед.","Характеристики по видам охраны Постовые войск национальной гвардии (Росгвардии) численность сотрудников охраны, чел.","Характеристики по видам охраны пожарная количество постов, ед.","Характеристики по видам охраны пожарная численность сотрудников охраны, чел.","Характеристики по видам охраны система видеонаблюдения площадь помещений, находящихся под контролем, кв. м.","Характеристики по видам охраны система видеонаблюдения площадь открытой территории, находящейся под контролем, га","Характеристики по видам охраны система автоматизированного контроля и управления доступом в местах прохода персонала (посетителей) площадь помещений, находящихся под контролем, кв. м.","Характеристики по видам охраны система автоматизированного контроля и управления доступом в местах прохода персонала (посетителей) площадь открытой территории, находящейся под контролем, га","Характеристики по видам охраны система контроля температурно-влажностного режима площадь помещений, находящихся под контролем, кв. м.","Характеристики по видам охраны система контроля температурно-влажностного режима площадь помещений, находящихся под контролем, кв. м.","Площади музеев, кв. м.,  оборудованнные пожарной сигнализацией с выводом на пункт центрального наблюдения ","Площади музеев, кв. м.,  оборудованнные пожарной сигнализацией с автоматическими установками пожаротушения всего","Площади музеев, кв. м.,  оборудованнные пожарной сигнализацией с автоматическими установками пожаротушения в фондах","Площади музеев, кв. м.,  оборудованнные пожарной сигнализацией с автоматическими установками пожаротушения в экспозиции","Площади музеев, кв. м.,  оборудованнные пожарной сигнализацией с автоматическими установками пожаротушения в реставрационных лабораториях и мастерских","Число посещений, тыс. чел. всего ","Число посещений, тыс. чел. число индивидуальных посещений выставок и экспозиций всего","Число посещений, тыс. чел. число индивидуальных посещений выставок и экспозиций посетителей льготных категорий","Число посещений, тыс. чел. число индивидуальных посещений выставок и экспозиций лицами в возрасте до 16 лет","Число посещений, тыс. чел. число экскурсионных посещений всего","Число посещений, тыс. чел. число экскурсионных посещений посетителей льготных категорий","Число посещений, тыс. чел. число экскурсионных посещений лицами в возрасте до 16 лет","Кроме того, число посещений выставок вне музеев, тыс. чел.  ","Число экскурсий, ед.  ","Число массовых мероприятий музеев, ед.  ","Численность участников массовых мероприятий, тыс. чел.  ","Число культурно-образовательных программ, ед.  ","Численность участников культурно-образовательных программ, тыс.чел.  ","Число посещений музея всего, тыс.чел.  (сумма граф 85, 95, 97)  ","Число выставок - всего, ед.  ",из общего числа выставок открытых в отчетном году ,из общего числа выставок выставок (экспозиций) для лиц с нарушением зрения ,"Число экспозиций - всего, ед.  ",из общего числа экспозиций открытых в отчетном году ,из общего числа экспозиций выставок (экспозиций) для лиц с нарушением зрения ,из общего числа выставок проведены в музее из собственных фондов,из общего числа выставок проведены  с привлече-нием других фондов,из общего числа выставок проведены вне музея всего,из общего числа выставок проведены вне музея в других регионах Российской Федерации,из общего числа выставок проведены вне музея за рубежом,"Численность работников - всего, чел.  ","Численность сотрудников по штатному расписанию, чел.  ",Из них фактически работающих по штатному расписанию   ,Из общей численности работников - основной персонал  ,из числа основного персонала имеют образование высшее всего,из числа основного персонала имеют образование высшее имеют ученую степень,из числа основного персонала имеют образование среднее професси-ональное ,из числа штатного персонала имеют музейный стаж до 3 лет ,из числа штатного персонала имеют музейный стаж до 3 лет ,из числа штатного персонала имеют музейный стаж до 3 лет ,Из общей численности работников - количество инвалидов и лиц с нарушениями  ,Из общей численности работников - прошли обучение (инструктирование) по вопросам предостав-ления услуг инвалидам и лицам с ОВЗ  ,"Поступило финансовых средств за год, всего, тыс. руб.  ",из поступивших за год финансовых средств бюджетные ассигнования  учредителя ,"из поступивших за год финансовых средств бюджетные ассигнования  учредителя, в т.ч. субсидий на финансовое обеспечения выполнения госзадания ","из поступивших за год финансовых средств бюджетные ассигнования  учредителя, в т.ч. субсидий представляемых в соответствии с абз.2 п.1 ст.78.1 БК РФ ","из поступивших за год финансовых средств бюджетные ассигнования  учредителя, в т.ч. субсидий на осуществление капитальных вложений ","из поступивших за год финансовых средств бюджетные ассигнования  учредителя, в т.ч. грантов в форме субсидий ",из поступивших за год финансовых средств финанси-рование из бюджетов других уровней ,из поступивших за год финансовых средств поступления от оказания услуг на платной основе и от иной приносящей доход деятельности всего,из поступивших за год финансовых средств поступления от оказания услуг на платной основе и от иной приносящей доход деятельности от основных видов уставной деятельности,из поступивших за год финансовых средств поступления от оказания услуг на платной основе и от иной приносящей доход деятельности благотвори-тельные и спонсорские вклады,из поступивших за год финансовых средств поступления от оказания услуг на платной основе и от иной приносящей доход деятельности от иной приносящей доход  деятельности,из поступивших за год финансовых средств поступления от оказания услуг на платной основе и от иной приносящей доход деятельности от сдачи имущества в аренду,из поступивших за год финансовых средств от реализации ценных бумаг ,"Израсхо-довано за год финансовых средств, всего, тыс. руб.  ","из израсходованных за год финансовых средств, тыс. руб. расходы на оплату труда всего","из израсходованных за год финансовых средств, тыс. руб. расходы на оплату труда из них 
за счет средств, полученных от предпринимательской деятельности и сдачи имущества в аренду
","из израсходованных за год финансовых средств, тыс. руб. расходы на оплату труда расходы на оплату труда основному персоналу","из израсходованных за год финансовых средств, тыс. руб. расходы на оплату труда из них 
за счет средств, полученных от предпринимательской деятельности и сдачи имущества в аренду
","из израсходованных за год финансовых средств, тыс. руб. на капитальный ремонт и реставрацию всего","из израсходованных за год финансовых средств, тыс. руб. на капитальный ремонт и реставрацию из них 
за счет средств, полученных от предпринимательской деятельности и сдачи имущества в аренду
","из израсходованных за год финансовых средств, тыс. руб. на приобретение (замену) оборудования всего","из израсходованных за год финансовых средств, тыс. руб. на приобретение (замену) оборудования из них для улучшения условий доступности для инвалидов и лиц с ОВЗ","из израсходованных за год финансовых средств, тыс. руб. на приобретение (замену) оборудования из них 
за счет средств, полученных от предпринимательской деятельности и сдачи имущества в аренду
","из израсходованных за год финансовых средств, тыс. руб. на пополнение фонда музея всего","из израсходованных за год финансовых средств, тыс. руб. на пополнение фонда музея из них 
за счет средств, полученных от предпринимательской деятельности и сдачи имущества в аренду
","из израсходованных за год финансовых средств, тыс. руб. на организацию и проведение выставок всего","из израсходованных за год финансовых средств, тыс. руб. на организацию и проведение выставок из них 
за счет средств, полученных от предпринимательской деятельности и сдачи имущества в аренду
","из израсходованных за год финансовых средств, тыс. руб. на реставрацию предметов основного и научно-вспомогательного фондов всего","из израсходованных за год финансовых средств, тыс. руб. на реставрацию предметов основного и научно-вспомогательного фондов из них 
за счет средств, полученных от предпринимательской деятельности и сдачи имущества в аренду
","из израсходованных за год финансовых средств, тыс. руб. на информатизацию музейной деятельности, в т.ч. создание электронных каталогов и оцифровку музейного фонда всего","из израсходованных за год финансовых средств, тыс. руб. на информатизацию музейной деятельности, в т.ч. создание электронных каталогов и оцифровку музейного фонда из них 
за счет средств, полученных от предпринимательской деятельности и сдачи имущества в аренду
","из израсходованных за год финансовых средств, тыс. руб. на обеспечение безопасности экспозиции, фондохранилищ, посетителей всего","из израсходованных за год финансовых средств, тыс. руб. на обеспечение безопасности экспозиции, фондохранилищ, посетителей из них 
за счет средств, полученных от предпринимательской деятельности и сдачи имущества в аренду
"
Всего по Российской Федерации,2023,3119,1880,798,441,1710,1551,1410,2321,96448055,3086701,55918521,7054954,48242388,9645075,7263654,99156,93582,71783679,3086701,55918521,7054954,44576581,6987856,5093079,88307,66974,7247481,6307153,44383,23788017,3628378,2631560,2168522,10849,26593,1318221,1710,616,2868,1144,2816,1891,63754402,46936525,32956822,44390016,433684.85,6548311.6,2168302.38,561129.86,12937,2855,2436,3640,758,11416,431,1090,1330,1547,2203,2466,6445,1512,3492,381,1139,393,978,2568859.14,4166.47,1316591.6,3768.51,1326166.22,1003388.42,4211441.73,1041568.53,241858.93,380413.16,47258.52,132318.1,94492.7,33510.5,23012.1,37825.4,12550.2,15727.2,48613.5,2606500,109170,20096.8,417872,10730.4,163145.3,81706,69768,1728,20190,3765,903,41308,20345,20053,2041,140,78325,84951,75582,48888,35383,2048,9107,22100,24749,27426,2495,8746,129982384,97155308,73570379,13292127,2938002,237975,2993008,29834062,22592091,1951140,4390474,699959,6,126346467,71933117,15677177,42295880,7576478,10339551,918437,5143625,73112,1242470,655818,372072,4176627,1253371,503487,159052,659985,238168,4281096,520967
Центральный федеральный округ,2023,751,439,226,86,424,388,354,570,31836611,1406374,21906460,1078920,19982194,2792618,1391156,44216,23497,24904844,1406374,21906460,1078920,18742817,2077129,1039318,43716,11709,1687961,3087063,14450,6899731,1228999,713488,350979,500,11788,284989,424,162,694,360,693,518,24035950,17986658,11755424,16579707,15196.57,2202476.9,699476.98,181109.96,3195,851,543,949,160,2861,130,204,445,534,648,951,2233,492,951,201,505,120,246,955494.44,645.52,532895.6,94.2,497612.22,375455.42,1366594.03,360425.53,82110.93,120193.16,5057.52,41130.7,30782.9,12449.8,7474.7,10347.8,4049.4,4640.7,15277.6,742642,34989,7339.4,111429,2800.3,51270.4,16752,14491,464,4394,863,248,7597,5685,3470,954,78,26753,29444,25829,16149,12120,806,2859,7786,8462,9298,780,3457,54136728,41864211,31006030,5624084,1065945,155378,721321,11551196,7983438,683190,2550812,376498,0,52573272,29298304,7780852,15245897,2659875,4246132,142110,1715548,20476,350257,172784,117816,1875671,516798,151616,31267,258062,113056,1956698,234552
Белгородская обл.,2023,44,30,12,2,36,35,34,41,738282,5203,339065,230532,158604,92074,296428,23,1198,547952,5203,339065,230532,158604,88211,260464,23,956,140969,5996,193,190029,0,3863,35842,0,242,28191,36,31,42,33,42,41,620705,578509,446635,541305,59.35,57982,20929,2932,79,3,23,16,1,73,3,3,27,25,37,20,59,16,31,4,12,6,15,32414,27.29,8364,0.1,6680,6385,49718,6700,1333,4267,796,1104.3,433.8,202.9,143.8,670.5,139.5,455.6,310,43106,1573,195,18431,314.6,1613.9,1435,1373,72,115,31,15,820,305,310,15,0,787,812,769,505,372,7,94,208,247,308,40,120,755079,638494,547514,27305,13,800,18364,98221,44233,4125,49392,2403,0,758330,453064,134011,287426,5931,2246,1196,22954,586,4641,1315,519,18753,1541,715,215,931,544,18963,333
Брянская обл.,2023,33,16,14,3,16,14,14,29,572668,50631,412188,8506,300472,53469,23606,0,1413,435422,50631,412188,8506,300472,49915,20012,0,640,81529,30638,10,137151,0,3554,3594,0,773,15027,16,5,33,13,33,18,177327,71148,49747,299354,129.58,33128,14469,1842,63,3,6,26,1,53,2,8,6,5,17,4,8,8,20,0,0,9,19,11409,14.89,151,0,3237,2067,19792,3230,273,1722,0,776.8,473.5,188.1,204.2,303.3,132.4,176.4,174.2,13011,2189,131.6,2231,201.8,1110.2,1204,1037,44,383,151,33,869,213,122,39,6,343,369,341,234,157,4,67,79,105,155,7,51,359898,313540,211613,37688,60621,0,14561,31797,22487,120,9190,214,0,298632,179985,5654,117212,1790,16772,728,32496,847,2169,2947,96,8818,4176,168,168,310,80,9053,1410
Владимирская обл.,2023,26,25,1,0,15,15,14,20,956609,35015,534099,76577,462509,32137,114750,0,27,702924,35015,534099,76577,462509,27472,78192,0,5,68925,58544,854,248684,0,4665,36558,0,22,8775,15,9,25,13,26,21,727994,564819,441126,592486,103.07,74835,25381,4943,189,76,51,82,15,174,8,7,15,18,15,5,10,9,18,10,17,0,0,23259,18.1,3316,1.5,31994,3900,50262,2553,1558,719,0,1702.6,1167.9,149.2,170.4,534.7,81.9,192.8,96.3,30985,920,122.7,2384,49.1,1874.4,478,396,13,198,20,23,207,188,83,16,1,884,940,869,640,394,7,158,233,275,349,20,153,1138591,692188,523742,99516,37972,100,38909,407494,390674,6239,9527,825,0,1100540,677748,243219,466664,204233,73410,9784,44052,1430,8867,3570,1408,18727,6554,4748,68,8311,1715,46833,8404
Воронежская обл.,2023,29,21,,8,15,13,12,21,623983,21218,312364,1682,250982,54204,69390,227,115,391897,21218,312364,1682,250982,43747,61327,227,115,72878,30958,27,231962,0,10457,8063,0,0,18028,15,4,29,11,29,20,272943,241518,118893,278465,1171.02,28880,15025,2430,69,8,22,15,2,65,4,0,22,25,21,4,13,24,65,1,1,3,9,11397,7.29,0,0,9518,3490,19832,1139,99,1027,0,914.2,627.2,380.5,212.6,287,104.1,121,139.8,21004,1310,66.9,2522,60.9,1042,663,555,0,204,35,4,376,193,94,28,0,439,463,427,308,230,20,67,163,146,96,14,53,740996,648958,282797,268051,57080,328,9631,82407,47070,2919,13852,49,0,702836,280528,37955,152368,20896,156534,0,146178,878,4303,1837,276,15089,5633,295,0,3301,616,22631,1161
Ивановская обл.,2023,22,21,1,0,12,12,12,18,1126929,34437,948291,33546,895962,73799,38191,0,1658,1031134,34437,948291,33546,885359,27758,33525,0,850,40917,42430,188,95753,10603,46041,4666,0,808,4497,12,2,22,13,22,19,966778,322299,285614,311188,8.82,34999,12618,3109,59,11,20,18,2,53,2,4,9,7,10,6,21,13,32,0,0,2,2,18741,6.23,234,0,5817,9749,30632,6390,1521,4041,389,563.8,320.2,122.1,65,243.6,57.9,52.8,34.2,17927,624,58.6,1026,24.8,647.2,428,391,34,140,65,15,158,230,40,12,0,523,735,506,257,196,10,47,106,128,221,17,45,489220,390207,244453,56595,19218,0,4604,94409,43415,435,38806,486,0,473144,256920,29827,149723,17777,37896,362,34926,53,3842,766,726,14976,8818,971,200,2517,200,27031,479
Калужская обл.,2023,39,12,25,2,12,11,11,24,500857,26830,227905,32897,145949,25468,110948,85,15,314196,26830,227905,32897,140618,25468,77635,85,15,30912,38193,323,186436,5331,0,33313,0,0,13608,12,7,37,32,37,14,207059,167548,160226,194377,949.63,53121,21376,3017,87,18,14,36,0,75,1,11,18,28,33,4,6,3,3,3,5,0,0,29160,3.26,12415,0,2484,2069,45179,6837,835,5864,48,1185.4,824.4,358.9,269.1,361,203.7,165.4,604.2,24082,971,627.1,5763,153.7,1966.2,862,752,19,165,32,10,321,424,117,25,0,506,682,493,346,209,7,59,206,142,143,15,86,962116,708566,458384,200766,43517,0,61784,191766,145727,693,44805,541,0,930883,383010,77560,238120,43185,240535,2201,48442,349,2247,1818,568,18429,1503,2576,49,5516,321,28021,1200
Костромская обл.,2023,30,20,9,1,13,13,4,24,698155,27735,478286,2928,426302,237557,17065,1513,54,498853,27735,478286,2928,426302,53702,7114,1513,54,27410,53962,241,199302,0,183855,9951,0,0,3206,13,2,27,13,24,15,324408,228068,36923,184276,281.1,35200,15570,5912,113,43,29,71,5,105,3,5,4,2,8,2,4,18,51,3,12,16,19,21027,21.31,4061,0,5042,2300,20016,4713,2235,449,0,639.5,485.4,106.4,85.9,154.1,31,37.6,422.6,18807,631,42.9,3931,74.3,756.7,588,443,2,129,13,4,271,220,97,19,0,541,599,538,269,180,11,61,130,184,218,14,295,455371,344869,271171,51257,17,1774,30285,80217,68510,3312,8231,95,0,406490,233078,23406,121452,7230,7057,6659,38217,2064,3466,352,352,10951,8965,1108,773,625,451,40727,1459
Курская обл.,2023,38,4,34,0,4,4,4,29,700280,11843,553614,23081,285314,267191,35201,0,252,576695,11843,553614,23081,285314,266739,23081,0,252,86857,27582,218,123529,0,452,12120,0,0,8589,4,4,37,7,36,33,332663,295245,257341,482388,53.45,28769,7835,1484,61,5,12,7,0,57,2,2,7,5,25,9,30,3,4,0,0,0,0,3461,3.66,1256,0.18,21,213,12740,395,395,0,0,594.4,248.3,150.2,117.8,346.1,216.4,241.8,23.1,20524,1017,54.7,3331,69.3,718.4,454,436,9,155,4,7,327,99,28,10,0,439,471,439,287,235,10,41,128,128,173,42,20,501400,441349,335826,962,0,0,30612,29439,27008,435,1001,275,0,457079,255916,3030,186828,2390,11419,76,4253,0,405,144,81,917,556,91,91,535,0,20239,640
Липецкая обл.,2023,27,5,14,8,15,10,7,15,510413,11661,198520,297,147772,28074,57657,0,162,253157,11661,198520,297,144019,28074,20243,0,119,58151,4822,42,250930,525,0,37321,0,43,16433,15,2,24,9,21,12,116807,94190,87291,106789,25.47,19005,10379,1147,44,6,14,8,9,39,1,4,9,8,10,3,4,17,17,2,2,8,8,5788,6.17,4766,0,1917,785,10676,1353,74,1154,0,222.1,116.8,30.6,47.9,105.3,20.8,49.6,133.2,7869,675,74,1259,39.2,335.3,524,445,15,146,34,10,251,147,126,13,0,290,294,235,155,137,7,18,56,52,89,15,59,314867,280611,195480,63745,18487,0,18449,15807,8601,4091,3012,9,0,257825,134390,3866,80758,939,5495,0,15974,3,2135,7791,60,6810,759,0,0,136,0,8152,236
Московская обл.,2023,111,69,18,24,69,66,64,94,2864943,38982,1453689,371147,1067349,290105,372959,326,1459,1995964,38982,1453689,371147,970985,156635,281376,326,647,257004,66756,510,864928,96364,133153,91583,0,812,37749,69,24,104,62,104,82,1447120,1312908,1152772,1335900,3569.97,345797,145238,26055,558,92,73,166,44,521,11,26,80,96,154,155,283,57,114,27,40,6,14,159185,179.75,30862,50.65,59012,44366,181833,24844,9543,5847,568,7335.1,5517.3,1698.7,1342.3,1817.8,774.3,741.3,875.8,120875,3260,1572.1,10096,270.4,9177.6,1913,1661,30,1017,170,34,730,936,247,88,0,3709,4230,3627,2334,1713,59,476,1124,1259,1222,85,546,8533176,6784007,5756395,588391,295639,12733,205963,1543206,1244074,107010,130582,12521,0,7287079,3160649,655287,1849578,197221,687001,663,108383,2607,26587,4811,3508,171174,28855,10277,4244,18602,9096,373613,25051
Орловская обл.,2023,19,12,7,0,7,7,5,10,405429,6560,151792,36291,202247,66019,13834,0,0,285966,6560,151792,36291,198081,66019,11435,0,0,25558,47602,36,117604,4166,0,2399,0,0,7192,7,2,14,4,13,7,263291,164774,89725,186601,95.18,20882,8435,1580,54,17,9,10,3,53,1,0,0,0,7,12,43,6,6,2,12,2,2,2738,0.11,0,0,2624,0,17388,336,37,280,0,282.2,201.7,101,67.5,80.5,27.6,44.4,258.1,9901,1040,67.1,1319,44.7,394,383,370,12,84,27,0,175,100,108,29,0,438,461,434,267,195,6,72,95,131,206,14,51,433309,382009,290988,85696,5324,0,20053,31247,15579,398,15269,0,0,395802,261121,7404,174886,1129,5831,21,33916,354,1616,23,23,24246,336,625,65,338,11,4027,29
Рязанская обл.,2023,29,28,1,0,22,21,21,28,604336,30524,344902,64516,378932,54796,26704,0,57,419861,30524,344902,64516,322871,24237,21667,0,9,51509,7960,132,179987,54160,28898,4393,0,48,15702,22,6,28,7,28,27,402631,313601,161165,338029,272.34,80879,25747,3815,127,27,20,24,5,118,0,9,17,14,43,19,40,9,32,5,5,1,2,52370,38.55,2900,7.47,18650,8145,63871,4591,2364,365,0,1239.4,863.2,206.5,190.5,376.2,81.8,110.6,127.7,36032,886,139.8,3975,116.8,1496,1142,1036,1,78,7,3,451,381,310,39,0,720,815,714,455,326,9,99,217,238,259,20,24,1270488,1038250,616044,390851,31353,0,90612,141626,96084,4653,40467,1140,0,1064984,447049,45352,287843,18985,134493,21403,174191,304,3365,1201,0,6915,3993,2466,0,3676,609,51291,3699
