pressure, node, date, time, humidity, ambient_temperature, amperage, wind_speed, imager_temperature
976.1, 54, 13.04.2023, 13:59, 30.4, 2, 334.3676, 0, 11.9
976.1, 82, 13.04.2023, 13:59, 30.4, 2, 156.9844, 0, 15
974.1, 111, 13.04.2023, 16:47, 31.5, 3, 191.4377, 1.2, 16.2
974.1, 28, 13.04.2023, 16:47, 31.5, 3, 236.6524, 1.2, 19.5
974.1, 58, 13.04.2023, 16:47, 31.5, 3, 236.6524, 1.2, 8.2
974.1, 102, 13.04.2023, 16:47, 31.5, 3, 190.3162, 1.2, 13
973.9, 112, 13.04.2023, 16:59, 28.2, 2.8, 186.388, 1.1, 14.8
973.9, 55, 13.04.2023, 16:59, 28.2, 2.8, 247.4575, 1.1, 9.3
973.9, 44, 13.04.2023, 16:59, 28.2, 2.8, 247.4575, 1.1, 16.8
973.9, 12, 13.04.2023, 16:59, 28.2, 2.8, 238.7614, 1.1, 4.8
976.1, 110, 13.04.2023, 13:59, 30.1, 2.1, 157.3391, 0.8, 17.6
976.1, 119, 13.04.2023, 13:59, 30.1, 2.1, 157.3391, 0.8, 21.9
976.1, 55, 13.04.2023, 13:59, 30.1, 2.1, 396.9907, 0.8, 14
976.1, 83, 13.04.2023, 13:59, 30.1, 2.1, 157.3391, 0.8, 20.4
974.1, 29, 13.04.2023, 16:47, 31.9, 3.1, 238.4841, 1.2, 13.2
973.9, 122, 13.04.2023, 16:59, 28.2, 2.8, 247.4575, 1.1, 16.5
974.1, 115, 13.04.2023, 16:47, 31.9, 3.1, 193.8759, 1.2, 30.3
974.1, 104, 13.04.2023, 16:47, 31.9, 3.1, 193.8759, 1.2, 16.7
973.9, 56, 13.04.2023, 16:59, 28.2, 2.8, 238.7614, 1.1, 8.8
974.1, 64, 13.04.2023, 16:47, 31.9, 3.1, 251.1121, 1.2, 17.5
974.1, 95, 13.04.2023, 16:49, 30.4, 2.9, 199.2503, 1.3, 12.9
974.1, 58, 13.04.2023, 16:49, 30.4, 2.9, 236.8684, 1.3, 7.7
973.9, 14, 13.04.2023, 16:59, 28.2, 2.8, 245.5758, 1.1, 4.2
974.1, 45, 13.04.2023, 16:50, 30.4, 2.9, 236.8684, 1.3, 17.8
974.1, 62, 13.04.2023, 16:50, 30.4, 2.9, 236.8684, 1.3, 13.2
974.1, 96, 13.04.2023, 16:50, 30.4, 2.9, 199.2503, 1.3, 11.7
974.1, 63, 13.04.2023, 16:50, 30, 2.9, 237.3123, 1.2, 14.3
974.1, 97, 13.04.2023, 16:50, 30, 2.9, 189.7893, 1.2, 10.8
974.1, 72, 13.04.2023, 16:50, 30, 2.9, 262.221, 1.2, 10.2
974.1, 65, 13.04.2023, 16:50, 30, 2.9, 262.221, 1.2, 14.6
974.1, 98, 13.04.2023, 16:50, 30, 2.9, 189.7893, 1.2, 14.1
974.1, 113, 13.04.2023, 16:50, 30, 2.9, 237.3123, 1.2, 13.1
974.1, 64, 13.04.2023, 16:50, 30, 2.9, 261.3202, 1.2, 17.6
974.1, 47, 13.04.2023, 16:50, 30, 2.9, 237.3123, 1.2, 15
974.1, 48, 13.04.2023, 16:50, 30, 2.9, 262.221, 1.2, 14.3
974.1, 99, 13.04.2023, 16:50, 30, 2.9, 189.7893, 1.2, 13.6
974.1, 66, 13.04.2023, 16:50, 30, 2.9, 255.2252, 1.2, 17.4
974.1, 59, 13.04.2023, 16:50, 30, 2.9, 262.221, 1.2, 15.5
974.1, 30, 13.04.2023, 16:47, 31.9, 3.1, 251.1121, 1.2, 8.4
974.1, 72, 13.04.2023, 16:47, 31.9, 3.1, 251.1121, 1.2, 10.4
974.1, 31, 13.04.2023, 16:47, 31.9, 3.1, 251.1121, 1.2, 14.9
974.1, 123, 13.04.2023, 16:48, 32, 3.1, 201.972, 1.4, 15.8
974.1, 54, 13.04.2023, 16:48, 31.4, 3.1, 254.6438, 1.1, 8.6
974.1, 17, 13.04.2023, 16:48, 31.4, 3.1, 198.6249, 1.1, 19.9
974.1, 18, 13.04.2023, 16:48, 31.4, 3.1, 198.6249, 1.1, 19.7
974.1, 38, 13.04.2023, 16:48, 30.4, 3.1, 240.3726, 1.7, 13.1
974.1, 19, 13.04.2023, 16:48, 30.4, 3.1, 240.3726, 1.7, 22.2
974.1, 1, 13.04.2023, 16:48, 30.4, 3.1, 249.7419, 1.7, 11
974.1, 20, 13.04.2023, 16:48, 30.4, 3.1, 240.091, 1.7, 14.5
974.1, 4, 13.04.2023, 16:48, 30.4, 3.1, 240.091, 1.7, 10.6
974.1, 21, 13.04.2023, 16:49, 30.4, 3.1, 257.8443, 1.7, 21.2
974.1, 6, 13.04.2023, 16:49, 29.9, 3, 257.8443, 1.5, 37.6
974.1, 22, 13.04.2023, 16:49, 29.9, 3, 259.9978, 1.5, 17.9
974.1, 9, 13.04.2023, 16:49, 29.9, 3, 250.5612, 1.5, 14.6
974.1, 11, 13.04.2023, 16:49, 29.9, 3, 250.5612, 1.5, 7
974.1, 23, 13.04.2023, 16:49, 29.9, 3, 209.9338, 1.5, 8
974.1, 105, 13.04.2023, 16:47, 31.9, 3.1, 193.8987, 1.2, 14.3
974.1, 116, 13.04.2023, 16:47, 31.9, 3.1, 193.8759, 1.2, 16.4
974.1, 107, 13.04.2023, 16:47, 31.9, 3.1, 251.1121, 1.2, 18.3
974.1, 113, 13.04.2023, 16:48, 32, 3.1, 238.4841, 1.4, 15
974.1, 117, 13.04.2023, 16:48, 32, 3.1, 193.8987, 1.4, 18.9
974.1, 33, 13.04.2023, 16:48, 32, 3.1, 243.116, 1.4, 18.2
974.1, 109, 13.04.2023, 16:48, 32, 3.1, 201.972, 1.4, 14.1
974.1, 34, 13.04.2023, 16:48, 32, 3.1, 251.8829, 1.4, 19.1
974.1, 118, 13.04.2023, 16:48, 32, 3.1, 195.2038, 1.4, 13.4
974.1, 35, 13.04.2023, 16:48, 32, 3.1, 251.8829, 1.4, 14
974.1, 119, 13.04.2023, 16:48, 32, 3.1, 205.5111, 1.4, 13
974.1, 36, 13.04.2023, 16:48, 31.4, 3.1, 240.3726, 1.1, 16.4
974.1, 55, 13.04.2023, 16:48, 31.4, 3.1, 248.6621, 1.1, 10.9
974.1, 37, 13.04.2023, 16:48, 31.4, 3.1, 240.3726, 1.1, 8.4
974.1, 56, 13.04.2023, 16:48, 31.4, 3.1, 240.3726, 1.1, 10.3
974.1, 57, 13.04.2023, 16:48, 30.4, 3.1, 249.7419, 1.7, 11
974.1, 39, 13.04.2023, 16:48, 30.4, 3.1, 257.8443, 1.7, 18
974.1, 58, 13.04.2023, 16:48, 30.4, 3.1, 240.091, 1.7, 7.8
974.1, 40, 13.04.2023, 16:48, 30.4, 3.1, 257.8443, 1.7, 10.9
974.1, 64, 13.04.2023, 16:49, 30.4, 3.1, 257.8443, 1.7, 17.5
974.1, 41, 13.04.2023, 16:49, 29.9, 3, 257.8443, 1.5, 21.3
974.1, 72, 13.04.2023, 16:49, 29.9, 3, 259.9978, 1.5, 10.9
974.1, 50, 13.04.2023, 16:49, 29.9, 3, 259.9978, 1.5, 9.2
974.1, 113, 13.04.2023, 16:49, 29.9, 3, 238.1757, 1.5, 13.6
974.1, 51, 13.04.2023, 16:49, 29.9, 3, 238.1757, 1.5, 6.5
974.1, 114, 13.04.2023, 16:49, 29.9, 3, 250.5612, 1.5, 15.9
974.1, 12, 13.04.2023, 16:49, 29.9, 3, 238.1757, 1.5, 5.3
974.1, 114, 13.04.2023, 16:48, 32, 3.1, 251.8829, 1.4, 16
974.1, 121, 13.04.2023, 16:48, 31.4, 3.1, 202.8639, 1.1, 12.2
974.1, 124, 13.04.2023, 16:48, 31.4, 3.1, 195.3284, 1.1, 12.3
974.1, 125, 13.04.2023, 16:48, 30.4, 3.1, 202.8639, 1.7, 17
974.1, 24, 13.04.2023, 16:49, 30.1, 3, 209.9338, 1.4, 19.4
974.1, 14, 13.04.2023, 16:49, 30.1, 3, 258.6109, 1.4, 4.4
974.1, 52, 13.04.2023, 16:49, 30.1, 3, 236.3294, 1.4, 12.3
974.1, 54, 13.04.2023, 16:49, 30.1, 3, 258.6109, 1.4, 8.4
974.1, 25, 13.04.2023, 16:49, 30.1, 3, 250.5747, 1.4, 17.3
974.1, 16, 13.04.2023, 16:49, 30.1, 3, 258.6109, 1.4, 10.8
974.1, 76, 13.04.2023, 16:49, 30.1, 3, 199.0463, 1.4, 14.5
974.1, 55, 13.04.2023, 16:49, 30.1, 3, 250.5747, 1.4, 10.5
974.1, 53, 13.04.2023, 16:49, 30.1, 3, 236.3294, 1.4, 8.8
974.1, 42, 13.04.2023, 16:49, 30.1, 3, 250.5747, 1.4, 17
974.1, 88, 13.04.2023, 16:49, 30.1, 3, 190.0724, 1.4, 14
974.1, 56, 13.04.2023, 16:49, 30.1, 3, 236.3294, 1.4, 10.1
974.1, 60, 13.04.2023, 16:49, 30.4, 2.9, 251.2006, 1.3, 16.1
974.1, 44, 13.04.2023, 16:49, 30.4, 2.9, 251.2006, 1.3, 18.4
974.1, 57, 13.04.2023, 16:49, 30.4, 2.9, 251.2006, 1.3, 11.1
974.1, 94, 13.04.2023, 16:49, 30.4, 2.9, 199.2503, 1.3, 12.6
974.1, 61, 13.04.2023, 16:49, 30.4, 2.9, 251.2006, 1.3, 13.1
976.9, 18, 13.04.2023, 12:46, 27.8, 1.2, 429.4274, 0.8, 11.9
976.5, 2, 13.04.2023, 13:14, 33.7, 1, 352.6301, 2.4, 10.5
976.5, 17, 13.04.2023, 13:14, 33.7, 1, 157.8611, 2.4, 14.6
976.5, 54, 13.04.2023, 13:14, 33.7, 1, 377.8762, 2.4, 7.1
